Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
50,74,124Sn,2656.6 (5),10+,45(5) μs,78.2(5),E2
50,74,124Sn,4551.4 (7),15,260(25) ns,228.5(4),(E2)
51,73,124Sb,10.8627 (8),5+,93(5) s,10.8630(11),
51,73,124Sb,36.8440 (14),(8),20.2(2) min,25.981(3),E3
51,73,124Sb,40.8038 (7),"3+,4+",3.2(3) μs,"29.940(1)
40.8041(10)","E2
E1"
51,73,124Sb,125.2291 (13),(6),86(2) ns,"37.629(3)
88.3852(6)
114.3679(13)","E2
E2"
53,71,124I,55.2 (3),3+,62(3) ns,55.2(3),E1
53,71,124I,122.8 (3),4,10(2) ns,122.8(3),E2
53,71,124I,249.8 (4),(5+),14(2) ns,"87.0(3)
194.6(3)",
53,71,124I,286.8 (4),6,10(2) ns,"12.0?
164.0(3)",E2
53,71,124I,689.1 (5),(8-),14(2) ns,"130.4(3)
132.6(3)
235.7(3)
378.3(3)","M1+E2
M1+E2
M1+E2
M1+E2"
55,69,124Cs,301.14 (7),(4),69(3) ns,"30.8?
58.20(8)
89.50(8)","E1
E1"
55,69,124Cs,462.63 (14),(7)+,6.41(7) s,"64.90(5)
161.0","M2
(E3)"
57,67,124La†,"0+X
0+Y",(8),"21(4) s
29.21(17) s",,
47,78,125Ag,859.9+X,,80(17) ns,147.0(10),
47,78,125Ag,1500.8 (6),(17/2),474(35) ns,"102.5(5)
787.0(5)",(E2)
48,77,125Cd,186 (5),11/2(),0.48(3) s,,
48,77,125Cd,1461.6+X,(19/2+),19(3) μs,742.2(5),
49,76,125In,360.12 (9),1/2(),12.2(2) s,,
49,76,125In,2009.4 (7),(19/2+),9.4(6) μs,56.3,E2
49,76,125In,2161.2 (9),(23/2),5.0(15) ms,151.8,M2
50,75,125Sn,27.50 (14),3/2+,9.52(5) min,,
50,75,125Sn,1892.8 (3),(19/2+),6.2(2) μs,"~ 10
805.5(2)",
50,75,125Sn,2059.5 (4),23/2+,0.6(2) μs,167.0(3),
50,75,125Sn,2623.5 (5),27/2,0.23(2) μs,161.3(3),
51,74,125Sb,1971.25 (20),15/2,4.1(2) μs,"881.8(3)
904.0(3)","E3(+M2)
E3"
51,74,125Sb,1971.25+X,(19/2),25(4) μs,,
51,74,125Sb,2112.1 (3),(19/2),28.0(7) μs,140.9(3),E2
51,74,125Sb,2325.0 (3),(19/2)+,31(2) ns,"107.9(3)
131.59(17)
331.36(24)","E2
(E2)"
51,74,125Sb,2471.0 (4),(23/2)+,272(16) ns,146.02(19),E2
52,73,125Te,144.775 (8),11/2,57.40(15) d,"109.276(15)
144.780(25)?",M4
54,71,125Xe,252.61 (14),9/2,57(1) s,140.5(2),E3
54,71,125Xe,295.89 (15),7/2(+),0.14(3) μs,"43.3(3)
183.8(2)","(E1)
(E2)"
55,70,125Cs,84.82 (24),(5/2+),14.5(15) ns,84.6(3),E2
55,70,125Cs,266.1 (11),(11/2,0.90(3) ms,13?,(M2)
56,69,125Ba,67.7+X,(7/2),2.76(14) μs,67.6(5),E1
57,68,125La,107.00 (10),,0.39(4) s,107.0(1),E3
58,67,125Ce,92.1 (6),(1/2+),"131 (+64060) s @
4.4 s*",,(E3)
46,80,126Pd,2023.5 (7),(5),0.33(4) μs,"542.4
1330.2",
46,80,126Pd,2109.7 (9),(7),0.44(3) μs,86.2,
46,80,126Pd,2406.4 (10),(10+),23.0(8) ms,296.7,(E3)
47,79,126Ag#,"X
Y","Low
High","52(10) ms
92(9) ms",,
47,79,126Ag,254.8 (5),(1),27(6) μs,254.8(5),(M2)
49,77,126In,102 (64),(8),1.64(5) s,,
49,77,126In,243.3 (2),1,22(2) μs,243.3(2),
50,76,126Sn,2161.54 (7),5,10.8(7) ns,"111.79(5)
1020.41(10)",E1
50,76,126Sn,2218.99 (8),7,6.6(14) μs,57.47(5),E2
50,76,126Sn,2564.5 (5),10+,7.7(5) μs,76.3(5),
50,76,126Sn,4345.7 (8),15,160(20) ns,180.5(3),E2
51,75,126Sb,17.7 (3),(5+),19.15(8) min,17.7(3),(E3)
51,75,126Sb,40.4 (3),(3),~ 11 s,22.70(7),(M2)
51,75,126Sb,104.6 (3),(3+),553(5) ns,"21.646(10)
64.281(10)
86.938(10)","(E1)
(E1)
(E2)"
51,75,126Sb,127.9 (3),(2+),78.0(5) ns,"23.280(10)
87.567(10)","(M1)
(E1)"
52,74,126Te,2974.4 (4),10+,10.7(9) ns,208.6(3),E2
53,73,126I,56.40 (24),1+,20 ns,56.4(3),E1
53,73,126I,111.00 (23),3+,128 ns,"54.6(3)
111.0(3)","E2
E1"
53,73,126I,122.2 (3),4,11 ns,122.2(3),E2
53,73,126I,237.4 (4),6,16 ns,115.2(3),E2
55,71,126Cs,272.5 (10),(4),≥ 1 μs,"31
55",
55,71,126Cs,596.1 (11),,171(14) μs,"112
223",
57,69,126La,0+X,(5+),54(2) s,,
48,79,127Cd,1560.1+X,(19/2+),17.5(3) μs,"738.8(2)?
848.9(2)?",
49,78,127In,408.9 (3),(1/2),3.67(4) s,,
49,78,127In,1863 (58),(21/2),1.04(10) s,,
49,78,127In,2364 (60)?,(29/2+),9(2) μs,47.0(5),E2
50,77,127Sn,5.07 (6),3/2+,4.13(3) min,,
50,77,127Sn,1826.67 (16),(19/2+),4.52(15) μs,"16.52(11)
732.04(11)",E2
50,77,127Sn,1930.97 (17),(23/2+),1.19(13) μs,104.30(6),(E2)
50,77,127Sn,2552.4 (10),(27/2),0.25(3) μs,142.0(3),(E2)
51,76,127Sb,1920.19 (21),(15/2),11(1) μs,"805.9(4)
824.7(4)","(E3)
(M2)"
51,76,127Sb,2194.4 (6),19/2+,14(1) ns,"143.3
246.9","E2
E2"
51,76,127Sb,2325.2 (7),23/2+,234(12) ns,130.8,E2
52,75,127Te,88.23 (7),11/2,106.1(7) d,88.3(1),M4
54,73,127Xe,297.10 (8),9/2,69.2(9) s,172.4(1),E3
54,73,127Xe,342.23 (4),7/2+,36.7(9) ns,"45.1(2)
217.48(5)","(E1)
E2"
54,73,127Xe,2729.97 (25),,25(3) ns,486.6(1),
55,72,127Cs,66.09 (11),(5/2)+,24.88(30) ns,66.06(14),E2
55,72,127Cs,452.23 (21),(11/2),55(3) μs,"179.30(20)
386.3(3)","M2
(E3)"
56,71,127Ba,80.32 (11),7/2,1.93(7) s,"24.2(1)
80.2(2)","M2
E3"
56,71,127Ba,81.29 (13),(5/2)+,75(4) ns,"25.1(2)
81.3(2)",M1
57,70,127La,14.2 (4),(3/2+),3.7(4) min,,
58,69,127Ce,7.3 (11),(5/2+),28.6(7) s,,
58,69,127Ce,36.8 (12),(7/2,> 10 μs,29.56(5),
46,82,128Pd,2151.0 (10),(8+),5.8 (8) μs,75.1,
48,80,128Cd,1870.5 (4),(5),270(7) ns,"440.3(3)
1224.0(6)",
48,80,128Cd,2108.3 (5),(7),12(2) ns,237.9(5),
48,80,128Cd,2714.6 (5),(10+),3.56(6) μs,68.7(1),
49,79,128In,247.9 (1),1,23(2) μs,247.9(1),
49,79,128In,3.4E+2 (6),(8),0.72(10) s,,
50,78,128Sn,2091.50 (11),(7),6.5(5) s,91.15(10),E3
50,78,128Sn,2491.91 (17),10+,2.81(15) μs,79.28(15),E2
50,78,128Sn,4099.5 (4),15,220(30) ns,119.7(2),E2?
51,77,128Sb,0+X,5+,10.4(2) min,,
52,76,128Te,2788.9 (6),10+,236(20) ns,101.3(3),E2
53,75,128I,133.6106 (10),2,12.3(5) ns,"48.148(7)
106.2486(7)
133.6106(11)","E1
E1
E1"
53,75,128I,137.850 (4),4,0.845(20) μs,"4.240(5)
52.378(5)",E1
53,75,128I,167.367 (5),(6),175(15) ns,29.512(5),(E2)
54,74,128Xe,2786.4 (4),8,73(3) ns,"204.0(3)
274.4(4)","M1+E2
(E2)"
55,73,128Cs,612.2+X,(9)+,50(8) ns,"158.7(3)
301.8(3)","(E1)
(E1)"
47,82,129Ag,X,(1/2),~ 160 ms,,
48,81,129Cd,0+X,3/2+,146(8) ms,,
48,81,129Cd,1940,(21/2+),3.6(2) ms,353,(E3)
49,80,129In,451 (1),(1/2),1.23(3) s,,
49,80,129In,1630 (56),(23/2,0.67(10) s,,
49,80,129In,1687.97 (25),(17/2,8.7(7) μs,333.8(2),(M2)
49,80,129In,1911 (56),(29/2+),110(15) ms,281.0(2),(E3)
50,79,129Sn,35.15 (5),11/2,6.9(1) min,,M4
50,79,129Sn,1761.6 (10),(19/2+),3.40(13) μs,19.7(10),(E2)
50,79,129Sn,1802.6 (10),(23/2+),2.22(14) μs,41.0(2),(E2)
50,79,129Sn,2552.9 (11),(27/2,217(19) ns,145.3(3),
51,78,129Sb,1851.31 (6),(19/2,17.7(1) min,722.69(5),(M4)
51,78,129Sb,1861.06 (5),(15/2,2.2(2) μs,"9.76(8)?
699.64(6)
732.48(5)",
51,78,129Sb,2137.4 (3),(23/2+),1.1(1) μs,98.6(2),E2
52,77,129Te,105.51 (3),11/2,33.6(1) d,105.50(5),M4
52,77,129Te,2137.83 (17),(23/2+),33(3) ns,"180.4(2)
251.1(2)","(E1)
(E1)"
53,76,129I,27.793 (20),5/2+,16.8(2) ns,27.81(5),M1+E2
54,75,129Xe,236.14 (3),11/2,8.88(2) d,196.56(3),M4
55,74,129Cs,6.5450 (10),5/2+,72(6) ns,6.545(1),E2
55,74,129Cs,575.40 (14),(11/2),0.718(21) μs,"149.1(3)
354.8?
366.1(2)?
386.6(3)
569.2(3)","(E1)
(M2)"
56,73,129Ba,8.42 (6),7/2+,2.135(10) h,8.4(2)?,
56,73,129Ba,182.04 (11),9/2,15.2(10) ns,173.6(1),E1
56,73,129Ba,2462.6 (2),(23/2+),47(1) ns,"126.0(1)
316.3(1)
472.8(1)","(E1)

(E2)"
57,72,129La,172.33 (20),(11/2,0.56(5) s,104.0(3),E3
58,71,129Ce,107.60 (16),(7/2,60(2) ns,107.7(2),(E1)
60,69,129Nd,0+X,(7/2,~ 7 s *,,
60,69,129Nd,0+Z,(1/2+),2.6(4) s,,
48,82,130Cd,2129.6 (10),(8+),0.248(+2119) μs,138.0(5),E2
49,81,130In,50 (50),(10),0.54(1) s,,
49,81,130In,388.5 (5),(3+),5.25(+4035) μs,388.5(5),
49,81,130In,400 (60),(5+),0.54(1) s,,
50,80,130Sn,2084.84 (8),(5),52(3) ns,"89.23(3)
137.96(5)","E1
E2"
50,80,130Sn,2434.79 (12),(10+),1.501(17) μs,96.54(5),E2
51,79,130Sb,4.8 (2),"(4, 5)+",6.3(2) min,,
51,79,130Sb,84.7 (3),6,0.8(1) μs,84.7,E2
51,79,130Sb,1544.7 (5),(13+),1.8(2) μs,36.5,E2
52,78,130Te,2146.41 (4),7,110(5) ns,"46?
330.7(3)",E1+M2
52,78,130Te,2664.7 (9),10+,1.90(8) μs,17.9?,
52,78,130Te,4373.9 (9),(15,53(8) ns,126.2(3),E2
53,77,130I,39.9525 (13),2+,8.84(6) min,39.9542(21),M3
53,77,130I,69.5865 (7),(6),133(7) ns,69.5862(7),E1
53,77,130I,82.3960 (19),,315(15) ns,12.21?,E2
53,77,130I,82.4+X,,66(8) ns,,
53,77,130I,85.1099 (10),(6),254(4) ns,85.1104(10),E1
55,75,130Cs,163.25 (11),5,3.46(6) min,"14.9(3)
31.5(3)
82.9(1)",E3
56,74,130Ba,2475.12 (18),8,9.4(4) ms,"80.3(2)
462.3(2)
882.3(2)","E1
E3
M2+E3"
57,73,130La,110.44 (9),"(1+, 2,
3+)",17(5) ns,110.4(2),
57,73,130La,131.01 (8),1+,77(10) ns,131.1(2),
57,73,130La,214.0 (3),5+,0.76(9) μs,103.6(2),(E2)
57,73,130La,319.1 (3),6+,33(1) ns,"82.5 (2)
105.1 (2)","(E1)
(M1)"
58,72,130Ce,2453.6 (3),(7),100(8) ns,"72.8
120.5
401.0(5)
499.0(4)
556.1(3)
1129.7(3)",
59,71,130Pr,0+X,(5+),40.0(4) s,,
49,82,131In,365 (8),(1/2),0.35(5) s,,
49,82,131In,3764 (88),(21/2+),0.32(6) s,,
49,82,131In,3783.6 (5),(17/2+),0.685(+4239) μs,3783.6(5),E4
50,81,131Sn,4605.7+X,(23/2),0.309(+2423) μs,158.8(5),E2
51,80,131Sb,1676.06 (6),(15/2),91(4) μs,"447.4
450.03(5)
1676.0?","E3
M2"
51,80,131Sb,1687.2 (9),(19/2),4.3(8) μs,11.2,
51,80,131Sb,2165.6 (15),(23/2+),1.1(2) μs,96.4,E2
52,79,131Te,182.258 (18),11/2,32.48(11) h,182.25(2),(M4)
52,79,131Te,1940.0 (4),(23/2+),93(12) ms,360.3(2),E3
53,78,131I,1918.4 (4),19/2,24(1) μs,"33?
122.0",E2(+M3)
53,78,131I,2350.3 (5),23/2+,42(2) ns,116,E2(+M3)
53,78,131I,4307.4 (6),"(31/2
33/2)",25(3) ns,"702.2
1265.6","M2
(E3)"
54,77,131Xe,163.930 (8),11/2,11.84(4) d,163.930(8),M4
54,77,131Xe,1805.3 (3),19/2+,14(3) ns,"189.1(2)
204.5(3)","E1
E1"
55,76,131Cs,775.28 (6),11/2,10.46(14) ns,"117.69(13)?
159.0(5)
279.17(2)",E1
56,75,131Ba,187.995 (9),9/2,14.26(9) min,79.918(7),E3
57,74,131La,304.60 (24),11/2,170(7) μs,108.9(3),M2
57,74,131La,2121.8 (3),(21/2),38(2) ns,"711.3(8)
947.6(1)","M1, E2"
58,73,131Ce,63.09 (9),(1/2+),5.4(4) min,,
58,73,131Ce,161.98 (5),9/2,88(2) ns,161.98(5),E1
59,72,131Pr,152.4 (3),(11/2),5.73(20) s,64.8(3),E3
60,71,131Nd,210.8 (5),(7/2),~ 50 ns,210.6(5),(E1)
50,82,132Sn,4715.91 (17),(6+),20.1(5) ns,299.6,(E2)
50,82,132Sn,4848.52 (20),(8+),2.088(17) μs,132.5,(E2)
51,81,132Sb,0+X,(8),4.10(5) min,,
51,81,132Sb,85.55 (6),(3)+,15.62(13) ns,85.58(8),M1+E2
51,81,132Sb,254.5 (3),(6),102(4) ns,91.7(2),(E1)
52,80,132Te,1774.80 (9),6+,145(8) ns,103.519(4),E2
52,80,132Te,1925.47 (9),(7),28.1(15) μs,150.672(10),E1
52,80,132Te,2723.3 (8),(10+),3.70(9) μs,"22(1)
798.0",
53,79,132I,120 (20),(8),1.387(15) h,98.0(10),E3
54,78,132Xe,2214.01 (14),(7),87(3) ns,173.7(1),E2
54,78,132Xe,2752.21 (17),(10+),8.39(11) ms,538.2(1),E3
57,75,132La,188.20 (11),6,24.3(5) min,"52.8(1)
188.5(3)","M3
E4"
58,74,132Ce,2341.15 (21),(8,9.4(3) ms,"11.6
526.8(3)
798.5(2)",
59,73,132Pr,219.9+X,(8+),2.46(4) μs,101.9(1),
59,73,132Pr,273.0+X,(8),486(70) ns,53.1(5),(E1)
49,84,133In,330 (40),(1/2),180(15) ms *,,
51,82,133Sb,4.56E+3 (10),(21/2+),16.54(19) μs @,,
52,81,133Te,334.26 (4),(11/2),55.4(4) min,334.27(4),M4
52,81,133Te,1610.4 (5),(19/2),100(5) ns,125.5(3),
53,80,133I,1634.148 (10),(19/2),9(2) s,74.05(1),(M2)
53,80,133I,1729.137 (10),(15/2),~ 170 ns,"94.989(2)
169.025(5)","E2
(E1)"
53,80,133I,2435.00 (23),(19/2+),0.78(16) μs,"353.9(3)
707
874.9(3)",E2(+M3)
53,80,133I,2493.7 (4),(23/2+),469(15) ns,58.7(3),E2
54,79,133Xe,233.221 (15),11/2,2.198(13) d,233.221(15),M4+E5
56,77,133Ba,288.252 (9),11/2,38.93(10) h,"275.925(7)
288(1)",M4
57,76,133La,535.595 (21),11/2,62(4) ns,"58.39(3)
404.78(4)
535","E1
M2"
58,75,133Ce,37.2 (7),9/2,5.326(11) h,,
59,74,133Pr,192.12 (14),(11/2),1.1(2) s,130.4(2),E3
60,73,133Nd,127.97 (12),(1/2+),~ 70 s,127.9(6),M3
60,73,133Nd,176.10 (10),(9/2),291(4) ns,176.1(1),E1
60,73,133Nd,353.62 (12),(3/2),46(9) ns,"62.3(3)
180.6(1)",E1
62,71,133Sm,0+Y,(1/2),3.5(4) s,,
50,84,134Sn,1246.3 (9),6+,0.086(+87) μs,174.1(5),(E2)
51,83,134Sb,279 (1),(7),10.07(5) s,,
52,82,134Te,1691.34 (16),6+,164.1(9) ns,115.2(1),E2
52,82,134Te,5804.0 (3),(12+),18(2) ns,182.6(2),
53,81,134I,316.49 (22),(8),3.52(4) min,"272.1(1)
316.3(10)?",E3
54,80,134Xe,1965.5 (5),7,290(17) ms,234.3(5),E3
54,80,134Xe,3025.2 (15),(10+),5(1) μs,28(1),E2
55,79,134Cs,11.2442 (18),5+,46.6(6) ns,11.242(7),M1+E2
55,79,134Cs,138.7441 (26),8,2.912(2) h,"127.5021(28)
138.733(11)","E3
M4"
55,79,134Cs,176.4044 (16),34,49.7(8) ns,"116.3755(26)
176.4047(24)","E1
E1"
55,79,134Cs,257.1075 (26),6,12.3(11) ns,"63.490(4)
118.367(4)
245.861(4)","E2
E2
E1"
56,78,134Ba,1986.35 (21),5,52(6) ns,"16
585.5(3)
1382.0(3)",E1
56,78,134Ba,2957.2 (5 ),(10+),2.63(14) μs,121.3(3),E2
57,77,134La,336.44+X,,29(4) μs,,
58,76,134Ce,3208.6 (4),10+,308(5) ns,"190.8(3)
397.4(3)","E2
E2"
59,75,134Pr,67.7 (4),(6),~ 11 min,,
60,74,134Nd,2293.0 (4),(8),410(30) μs,"166.5(3)
874",E1
61,73,134Pm,0+X,(5+),22(1) s,,
61,73,134Pm,70.7+X,(7),20(1) μs,70.7 (2),E1
51,84,135Sb,1342.3 (6),(19/2+),~ 20 ns,224.9,
52,83,135Te,1554.89 (16),(19/2),0.511(20) μs,50.0(1),E2
54,81,135Xe,526.551 (13),11/2,15.29(5) min,526.561(17),M4
55,80,135Cs,1632.9 (15),19/2,53(2) min,846.1,M4
56,79,135Ba,268.218 (20),11/2,28.7(2) h,268.218 (20),M4
57,78,135La,2738.43 (24),(23/2+),28.4(8) ns,470.6(1),
58,77,135Ce,445.81 (21),(11/2),20(1) s,149.7(2),E3
59,76,135Pr,358.06 (6),(11/2,105(10) μs,"112.60(5)
316.6(1)","M2
E3"
54,83,137Xe,1935.2 (3),19/2,10.1(9) ns,314.10(10),(E2)
56,81,137Ba,661.659 (3),11/2,2.552(1) min,"378.0(4)
661.657(3)","E5
M4"
56,81,137Ba,2349.1 (5),(17/2),0.59(10) μs,120.2(3),E2
57,80,137La,10.59 (4),5/2+,89(4) ns,10.61(5),M1
57,80,137La,1869.50 (21),19/2,342(25) ns,83.2,E2
58,79,137Ce,254.29 (5),11/2,34.80(3) h,254.29(5),M4
59,78,137Pr,561.22 (23),11/2,2.66(7) μs,"331.3(2)
563.4(2)",M2
60,77,137Nd,519.43 (20),11/2,1.60(15) s,233.5(2),E3
50,88,138Sn,1344 (2),(6+),210(45) ns,168(1),
50,88,138I,67.9+X,(3−),1.26(16) μs,67.9?,E2
55,83,138Cs,79.9 (3),6,2.91(8) min,79.9(3),M3
56,82,138Ba,2090.54 (6),6+,0.8(1) μs,191.96(6),E2
57,81,138La,72.57 (3),(3)+,116(5) ns,72.57(3),(E2)
57,81,138La,739.2 (5),7,2.0(3) μs,739.2 (5),M2
58,80,138Ce,2129.17 (12),7,8.65(20) ms,302.7(1),E3
58,80,138Ce,3539.1 (3),10+,81(2) ns,430.1(2),E2
59,79,138Pr,364 (23),7,2.12(4) h,,
60,78,138Nd,3174.9 (4),10+,370(5) ns,66.6(3),E2
61,77,138Pm,0.2E+2 (10),,3.24(5) min,,
61,77,138Pm,584.26+X,(8+),21(5) ns,173.6(1),
64,74,138Gd,2233.1 (5),(8,6.2(2) μs,583.2(3),(E1)
65,73,138Tb,X,,≥ 200 ns,,
57,82,139La,1799.9 (5),(17/2+),315(35) ns,88.7(5),
58,81,139Ce,754.24 (8),11/2,57.58(32) s,754.24(8),M4
58,81,139Ce,2631,(19/2),70(5) ns,269.2,(E2)
59,80,139Pr,821.98 (7),11/2,43.4(16) ns,"708.06(6)
821.9(2)","M2+E3
E3"
60,79,139Nd,231.15 (5),11/2,5.50(20) h,231.15(5),M4
61,78,139Pm,188.7 (3),11/2,180(20) ms,188.7(3),E3
62,77,139Sm,457.40 (22),11/2,10.7(6) s,190.1(2),E3
63,76,139Eu,148.2 (2),(7/2+),10(2) μs,26.4(2),(E1)
64,75,139Gd,X,,4.8(9) s,,
55,85,140Cs,13.931 (21),(2),471(51) ns,13.93(5),M1
58,82,140Ce,2107.86 (3),6+,7.3(15) μs,24.595(4),E2
58,82,140Ce,3715.3 (8),10+,23.1(4) ns,"202.3
222.4","E2
E1"
59,81,140Pr,127.8 (3),5+,0.35(2) μs,98.5(3),E2
59,81,140Pr,763.7 (5),(7),3.05(20) μs,635.9(3),"(M2, E3)"
60,80,140Nd,2221.4 (1),7,0.60(5) ms,419.57(5),E3
60,80,140Nd,3621.2 (3),10+,22(1) ns,166.57(4),E1
60,80,140Nd,7431.3 (5),20+,1.2(1) μs,"37.0
228.0(2)
1027.0(5)",
61,79,140Pm,0+X,8,5.95(5) min,,
62,78,140Sm,3172.1 (4),10+,19.4(7) ns,"44?
202.6(2)",E2
62,78,140Sm,3652.8 (3),12+,15.2(21) ns,441.9(1),E2
63,77,140Eu,0+X,(5),125(2) ms,"<48?
<59?","(M2)
(E3)"
63,77,140Eu,459.5+X,(8+),299.8(21) ns,"37.1(3)
98.1(3)","E1
E1"
66,74,140Dy,2166.1 (5),(8),7.0(5) μs,573.8(2)?,(E1)
55,86,141Cs,69.05 (3),(3/2)+,23.3(7) ns,69.05(3),(E2)
60,81,141Nd,756.51 (5),11/2,62.0(8) s,756.51(5),M4
60,81,141Nd,2886+X?,,26(5) ns,,
61,80,141Pm,628.62 (7),11/2,0.63(2) μs,"431.6(1)
628.6(1)","M2
E3"
61,80,141Pm,2349.52 (16),19/2(,54(5) ns,110.5(1),
61,80,141Pm,2530.75 (17),,> 2 μs,"639.0(1)
1020.3(3)",
61,80,141Pm,2574.4 (4)?,,≥ 2 μs,44.0(2)?,
62,79,141Sm,175.9 (3),11/2,22.6(2) min,174.2(3),M4
63,78,141Eu,96.45 (7),11/2,2.7(3) s,96.4(1),E3
64,77,141Gd,377.76 (9),11/2,24.5(5) s,119.6(1),E3
65,76,141Tb*,0+X,,7.9(6) s,,
67,74,141Ho,66 (12),1/2+,7.3(3) μs,,
55,87,142Cs,122.9+X,,11(3) ns,"26.4
97.3",(E2)
57,85,142La,145.82 (8),(4),0.87(17) μs,68.3(1),E2
59,83,142Pr,3.694 (3),5,14.6(5) min,3.683(4)?,M3
59,83,142Pr,911.4 (13),(9+),61(6) ns,553,
60,82,142Nd,2100.787 (13),4+,28(2) ns,"16.9
525.009(10)",
60,82,142Nd,2209.303 (21),6+,16.5 μs,108.52(2),
61,81,142Pm,449.47 (13),(5)+,16.5(15) ns,"37.5
208.5(1)",
61,81,142Pm,883.17 (16),(8),2.0(2) ms,433.7(1),E3
61,81,142Pm,2828.7 (6),(13),67(5) μs,"638.6(3)
1019.4",
62,80,142Sm,2372.1 (4),7,142.1(28) ns,"24.1(3)
580.7(4)?",E2
62,80,142Sm,3662.2 (7),10+,480(60) ns,"275.1
336.0
1290.3",
62,80,142Sm,6657.9 (5),17+,41.6(14) ns,351.8(1),M1
63,79,142Eu,0+X,8,1.223(8) min,,
65,77,142Tb,279.7 (4),5,303(17) ms,"68.2(3)
98.3(9)","M2
E3"
65,77,142Tb,652.1 (6),8+,26(1) μs,"37.2(3)
340.1(6)","E1
M2"
60,83,143Nd,8987.7 (9),49/2+,35(8) ns,"300.6(5)
338.6(5)",
61,82,143Pm,959.73 (13),11/2,24.0(7) ns,"687.7(4)
959.8(2)","M2
E3"
61,82,143Pm,1898.36 (14),15/2+,10.5(4) ns,234.9(1),E2
62,81,143Sm,753.99 (16),11/2,66(2) s,754.0(2),(M4)
62,81,143Sm,2793.8 (13),23/2(),30(3) ms,208,E3
63,80,143Eu,389.51 (4),11/2,50.0(5) μs,"117.57(5)
389.47(5)","M2
E3"
64,79,143Gd,152.6 (5),(11/2),110.0(14) s,,
66,77,143Dy,310.7 (6),(11/2),3.0(3) s,,
66,77,143Dy,405.7,,1.2(3) μs,"86
95","(E2)
(E2)"
55,89,144Cs,92.2 (5),(4),1.1(1) μs,49.4,(E2)
59,85,144Pr,59.03 (3),3,7.2(3) min,59.03(3),M3
61,83,144Pm,840.90 (5),(9)+,0.78(20) μs,"326.55(5)
608.7
669.15(8)","M2
E3
E3"
61,83,144Pm,8595.8 (22),"(25 to
35)",~ 2.7 μs,85.5,
62,82,144Sm,2323.60 (8),6+,880(25) ns,132.6(1),E2
63,81,144Eu,926.0 (4),(6),27.8(16) ns,"38.7(3)
163.1(5)",(M1+E2)
63,81,144Eu,1127.6 (6),(8),1.0(1) μs,"7.5
201.6(5)",E2
64,80,144Gd,2471.6 (4),(7),13(2) ns,169.0(2),E2
64,80,144Gd,3433.1 (5),(10+),145(30) ns,"87.4(3)
415.2(3)","E1
M2"
65,79,144Tb,396.9 (5),6,"4.25(15) s
12(2) s @",113.0(3),E3
65,79,144Tb,476.2 (5),8,2.8(3) μs,79.3(2),E2
65,79,144Tb,517.1 (5),9+,0.67(6) μs,40.8(2),E1
67,77,144Ho,265.3(3),(8+),519(5) ns,56.4(2),E1
58,87,145Ce,64.3 (2),(),13(3) ns,64.3(2),E2
60,85,145Nd,67.167 (7),3/2,29.4(10) ns,67.10(1),E2
61,84,145Pm,794.6 (4),11/2,17.1(10) ns,"44.2?
80.7(3)
733.4(3)
794.6(5)","E1
M2
E3"
62,83,145Sm,1105.03 (16),13/2+,13.5(15) ns,1105.0(2),E3
62,83,145Sm,8786.2 (7),(49/2+),0.96(+1915) μs,"205.9(7)
408.4(5)
452.3(5)
595.6(5)
713.3(19)
981.9(4)
1042.7(7)
1457.8(6)",
63,82,145Eu,716.0 (3),11/2,490(30) ns,"386.6(3)
716.0(3)","M2
E3"
64,81,145Gd,27.3 (11),3/2+,11.5(3) ns,27.3(1),M1+E2
64,81,145Gd,749.1 (2),11/2,85(3) s,721.8(1),M4
65,80,145Tb,Y,(11/2),30.9(6) s,,
66,79,145Dy,118.2 (2),(11/2),14.1(7) s,,
68,77,145Er,253,(11/2,0.9(3) s,,
57,89,146La,X,(6),10.0(1) s,,
63,83,146Eu,666.37 (16),9+,235(3) μs,"18.8
293.7(1)
377.0(1)","E3
E3"
63,83,146Eu,8649,(27),10.0(6) ns,204,
65,81,146Tb,0+X,5,23(2) s,,
65,81,146Tb,779.6+X,(10+),1.24(3) ms,417.7(1),E3
66,80,146Dy,2935.7 (6),(10+),150(20) ms,"127.0(3)
416.5(3)","E3
(E3)"
69,77,146Tm,182 (1),10+,198(3) ms,,
59,88,147Pr,93.29 (9),(7/2+),12 ns,"65.21
90.44
93.17",M1
61,86,147Pm,649.14 (6),11/2,27(3) ns,"117.98(5)?
159.7(2)?
241.2(2)
649.04(8)","E3
M2
E1
M2"
63,84,147Eu,625.27 (5),11/2,0.765(15) μs,"396.00(10)
625.18(10)","M2
E3"
64,83,147Gd,997.10 (10),13/2+,21.4(11) ns,997.1(1),E3
64,83,147Gd,3581.9 (4),27/2,26.8(7) ns,"182.9(1)
543.7(1)
821.3(2)",E1
64,83,147Gd,8587.8 (5),(49/2+),510(20) ns,"254.4(1)
434.5(3)
594.3?","E2
(E3)"
65,82,147Tb,50.6 (9),(11/2),1.83(6) min,,
66,81,147Dy,750.5 (4),(11/2),55.2(5) s,678.4(3),(M4)
66,81,147Dy,3407.2 (8),(27/2),0.40(1) μs,81.9(1),E2
66,81,147Dy,3650.6 (9),(27/2),16(3) ns,"92.3(3)
243.4(3)",(M1)
