Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
33,35,68As,1571.2 (2),(6),19(3) ns,"248.4(2)
266.6(5)",
33,35,68As,2157.8 (2),9(+),36(2) ns,"63.9(1)
854.2(3)
943.6(5)?",M2
27,42,69Co,0+X,(1/2),750(250) ms,,
28,41,69Ni,321 (2),(1/2),3.5(4) s,,
28,41,69Ni,2700.0 (10),(17/2),0.439(3) μs,148,
29,40,69Cu,2742.0 (7),(13/2+),357(2) ns,"74
189.9",
29,40,69Cu,3692.0 (13),(19/2),22(1) ns,208.8,
29,40,69Cu,3828.0 (10),(17/2+),39(6) ns,"613.6
1085.8",
30,39,69Zn,438.636 (18),9/2+,13.756(18) h,438.634(18),M4
32,37,69Ge,86.76 (2),1/2,5.1(2) μs,86.78(2),E2
32,37,69Ge,397.94 (2),9/2+,2.81(5) μs,397.95(2),M2
34,35,69Se,38.85 (22),5/2,2.0(2) μs,39.4,E2
34,35,69Se,574.0 (4),9/2+,960(23) ns,534.8(8),M2
27,43,70Co,0+X,(3+),0.50(18) s,,
27,43,70Co,437.3+X,(4),54(10) ns,"155.8
164.1
273.2","E1+M2
E2"
28,42,70Ni,2860 (2),(8+),0.232(1) μs,183(1),(E2)
29,41,70Cu,101.1 (3),3,33(2) s,101.1(3),(M3)
29,41,70Cu,242.6 (5),1+,6.6(2) s,141.3,
31,39,70Ga,879.1 (1),4,22.7(5) ns,188.1(1),E2(+M3)
33,37,70As,32.008 (23),2+,96(3) μs,32.05(3),E2
35,35,70Br,2292.3 (8),9+,2.2(2) s,,
28,43,71Ni,498.5 (7),(1/2),2.3(3) s,,
29,42,71Cu,2755.7 (6),(19/2,0.271(14) μs,133.0(3),
30,41,71Zn,157.7 (13),9/2+,4.125(7) h,"386
487
620",
32,39,71Ge,174.943 (9),5/2,79(2) ns,174.956(9),E2
32,39,71Ge,198.354 (14),9/2+,20.41(18) ms,23.438(15),M2
33,38,71As,143.50 (7),(1/2),59(10) ns,143.2(3),E2
