"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"42SC",42,21,616.28,"7+","61.7(4) s",NA,NA,TRUE,"616.28;7+;61.7(4) s"
"43S",43,16,320.9,"7/2","0.20(+147) μs","320.9(5)","E2",TRUE,"320.9;7/2;0.20(+147) μs"
"43K",43,19,738.1,"7/2","200(5) ns","738.1(2)","M2+E3",TRUE,"738.1;7/2;200(5) ns"
"43SC",43,21,151.4,"3/2+","438(7) μs","151.55(15)",NA,TRUE,"151.4;3/2+;438(7) μs"
"43SC",43,21,3124.32,"19/2","470(4) ns","135.5(1)","E2",TRUE,"3124.32;19/2;470(4) ns"
"43TI",43,22,312.7,"(3/2+)","11.9(3) μs","312.7(2)",NA,TRUE,"312.7;(3/2+);11.9(3) μs"
"43TI",43,22,3067,"(19/2)","556(5) ns","114.7(2)",NA,TRUE,"3067;(19/2);556(5) ns"
"44S",44,16,1365,"0+","2.619(26) μs","36(1)?
1365(1)","E0",TRUE,"1365;0+;2.619(26) μs"
"44SC",44,21,67.8679,"1","154.8(8) ns","67.8679(14)","E1",TRUE,"67.8679;1;154.8(8) ns"
"44SC",44,21,146.1914,"0","51.0(3) μs","78.3234(14)
146.22","M1",TRUE,"146.1914;0;51.0(3) μs"
"44SC",44,21,271.24,"6+","58.61(10) h","271.24(1)",NA,TRUE,"271.24;6+;58.61(10) h"
"45SC",45,21,12.4,"3/2+","318(7) ms","12.4","(M2)",TRUE,"12.4;3/2+;318(7) ms"
"45TI",45,22,36.53,"3/2","3.0(2) μs","36.69(21)","(E2)",TRUE,"36.53;3/2;3.0(2) μs"
"45TI",45,22,39.39,"5/2","11.29(9) ns","40.15(30)","(M1(+E2))",TRUE,"39.39;5/2;11.29(9) ns"
"45V",45,23,56.8,"(3/2)","465(22) ns","0.8?
57.1(8)","(E2)",TRUE,"56.8;(3/2);465(22) ns"
"45CR",45,24,107,"(3/2+)","> 80 μs","107(1)","(M2)",TRUE,"107;(3/2+);> 80 μs"
"46CA",46,20,2973.9,"6+","10.4(5) ns","399.2(3)",NA,TRUE,"2973.9;6+;10.4(5) ns"
"46SC",46,21,52.011,"6+","9.4(8) μs","52.011(1)","E2",TRUE,"52.011;6+;9.4(8) μs"
"46SC",46,21,142.528,"1","18.75(4) s","142.528(8)","E3",TRUE,"142.528;1;18.75(4) s"
"46V",46,23,801.46,"3+","1.02(7) ms","801.5(1)",NA,TRUE,"801.46;3+;1.02(7) ms"
"47SC",47,21,766.83,"(3/2)+","272(8) ns","767.1(3)","(M2)",TRUE,"766.83;(3/2)+;272(8) ns"
"49SC",49,21,2228.63,"1/2+","29.9(11) ns","2228.75(35)",NA,TRUE,"2228.63;1/2+;29.9(11) ns"
"49V",49,23,152.9282,"3/2","19.90(24) ns","62.289(2)
152.928(2)","(M1)
E2",TRUE,"152.9282;3/2;19.90(24) ns"
"50SC",50,21,256.895,"2+, 3+","0.35(4) s","256.894(10)",NA,TRUE,"256.895;2+, 3+;0.35(4) s"
"50MN",50,25,225.28,"5+","1.75(3) min",NA,NA,TRUE,"225.28;5+;1.75(3) min"
"52MN",52,25,377.749,"2+","21.1(2) min
22.7(30) min @","377.748(5)","E4",TRUE,"377.749;2+;21.1(2) min
22.7(30) min @"
"52FE",52,26,6958,"12+","45.9(6) s","465.0(3)
597.1(3)","E4
E4",TRUE,"6958;12+;45.9(6) s"
"53FE",53,26,741.11,"3/2","63.5(14) ns","741.1(1)","E2",TRUE,"741.11;3/2;63.5(14) ns"
"53FE",53,26,3040.4,"19/2","2.54(2) min
2.48(5) min @","701.1(1)
1712.6(3)
3040.6(5)",NA,TRUE,"3040.4;19/2;2.54(2) min
2.48(5) min @"
"53CO",53,27,3174.3,"(19/2)","247(12) ms",NA,NA,TRUE,"3174.3;(19/2);247(12) ms"
"54SC",54,21,110,"(4,
5) +","2.77(2) μs","110","E2",TRUE,"110;(4,
5) +;2.77(2) μs"
"54V",54,23,108,"(5)+","0.9(5) μs","108","E2",TRUE,"108;(5)+;0.9(5) μs"
"54FE",54,26,6527.1,"10+","364(7) ns","146.2 (2)
3577.6","E2
E4",TRUE,"6527.1;10+;364(7) ns"
"54CO",54,27,197.1,"7+","1.48(2) min",NA,NA,TRUE,"197.1;7+;1.48(2) min"
"54NI",54,28,6457.4,"10+","152(4) ns","146.1(2)
3386.2(9)",NA,TRUE,"6457.4;10+;152(4) ns"
"56SC",56,21,774.9,"(4+)","0.35(+2612) μs","47.7(3)
187.8(3)","(E2)",TRUE,"774.9;(4+);0.35(+2612) μs"
"57FE",57,26,14.4129,"3/2","98.3(3) ns","14.4129(6)","M1+E2",TRUE,"14.4129;3/2;98.3(3) ns"
"58MN",58,25,71.77,"4+","65.4(5) s","71.78(5)","M3",TRUE,"71.77;4+;65.4(5) s"
"58CO",58,27,24.95,"5+","9.10(9) h","24.889(21)","M3",TRUE,"24.95;5+;9.10(9) h"
"58CO",58,27,53.15,"4+","10.5(3) μs","28.30(15)
52.96(13)","(M1+E2)",TRUE,"53.15;4+;10.5(3) μs"
