"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"84Y",84,39,67,"1+","4.6(2) s",NA,NA,TRUE,"67;1+;4.6(2) s"
"84Y",84,39,112.4,"(4+)","79(2) ns","112.4(2)","E2",TRUE,"112.4;(4+);79(2) ns"
"84Y",84,39,156.7,"(8+)","14.6(7) ns","156.7(1)","E2",TRUE,"156.7;(8+);14.6(7) ns"
"84Y",84,39,162.88,"(5)","32(4) ns","162.9(1)","(E1)",TRUE,"162.88;(5);32(4) ns"
"84Y",84,39,210.42,"(4)","292(10) ns","61.7(2)
80.0(2)
98.1(2)","(E1)
E2
(E1)",TRUE,"210.42;(4);292(10) ns"
"84Y",84,39,216.11,"(5)","18.7(21) ns","216.1(1)","(E1)",TRUE,"216.11;(5);18.7(21) ns"
"84NB",84,41,48,"(3+)","176(46) ns","47.9","E2",TRUE,"48;(3+);176(46) ns"
"84NB",84,41,305.2,"(5+)","50(8) ns","143.2
257.2","M1
E2",TRUE,"305.2;(5+);50(8) ns"
"84NB",84,41,337,"(5)","92(5) ns","132.4
174.8","E2
E1",TRUE,"337;(5);92(5) ns"
"85KR",85,36,304.871,"1/2","4.480(8) h","304.87(2)","M4",TRUE,"304.871;1/2;4.480(8) h"
"85KR",85,36,1991.8,"(17/2+)","1.82(6) μs","60.2(2)","E2",TRUE,"1991.8;(17/2+);1.82(6) μs"
"85RB",85,37,514.0064,"9/2+","1.015(1) μs","233?
362.81(4)
514.0048(22)","(E3)
M2",TRUE,"514.0064;9/2+;1.015(1) μs"
"85RB",85,37,2826.55,"(19/2)","12.5(6) ns","349.8(1)","E1",TRUE,"2826.55;(19/2);12.5(6) ns"
"85SR",85,38,238.79,"1/2","67.63(4) min","238.78(5)","M4",TRUE,"238.79;1/2;67.63(4) min"
"85Y",85,39,19.68,"(9/2)+","4.86(20) h",NA,NA,TRUE,"19.68;(9/2)+;4.86(20) h"
"85Y",85,39,266.18,"(5/2)","178(7) ns","266.2(1)","E2",TRUE,"266.18;(5/2);178(7) ns"
"85ZR",85,40,292.2,"(1/2)","10.9(3) s","292.2(3)",NA,TRUE,"292.2;(1/2);10.9(3) s"
"86RB",86,37,556.05,"6","1.017(3) min","556.07(18)","E4",TRUE,"556.05;6;1.017(3) min"
"86SR",86,38,2956.09,"8+","0.455(7) μs","98.68(3)","E2",TRUE,"2956.09;8+;0.455(7) μs"
"86Y",86,39,208.04,"(5)","70(7) ns","208.06(7)","E2(+M1)",TRUE,"208.04;(5);70(7) ns"
"86Y",86,39,218.21,"(8+)","47.4(4) min","10.22 (8)","(E3)",TRUE,"218.21;(8+);47.4(4) min"
"86Y",86,39,242.8,"2","28.6(21) ns","242.80(10)","E2",TRUE,"242.8;2;28.6(21) ns"
"86Y",86,39,302.18,"(6+)","127(14) ns","84.0(1)
94.11(7)","(E1)",TRUE,"302.18;(6+);127(14) ns"
"86TC",86,43,1524,"(6+)","1.10(14) μs","81","(E2)",TRUE,"1524;(6+);1.10(14) μs"
"87SR",87,38,388.533,"1/2","2.815(12) h","388.531(3)","M4",TRUE,"388.533;1/2;2.815(12) h"
"87ZR",87,40,335.84,"(1/2)","14.0(2) s","134.93(15)","E3",TRUE,"335.84;(1/2);14.0(2) s"
"87NB",87,41,3.84,"(9/2+)","2.6(1) min",NA,NA,TRUE,"3.84;(9/2+);2.6(1) min"
"87NB",87,41,334,"(5/2","28(2) ns","67.2
334.0(1)","(E2)",TRUE,"334;(5/2;28(2) ns"
"88BR",88,35,270.1,"(34
5)","5.51(4) μs","110.9(5)","E2",TRUE,"270.1;(34
5);5.51(4) μs"
"88RB",88,37,1373.8,"(7+)","123(13) ns","647.2(3)
1105.9(7)","(M2)",TRUE,"1373.8;(7+);123(13) ns"
"88Y",88,39,392.86,"1+","0.301(3) ms","392.87(9)","E3",TRUE,"392.86;1+;0.301(3) ms"
"88Y",88,39,674.55,"8+","13.98(17) ms","442.62(3)","E3",TRUE,"674.55;8+;13.98(17) ms"
"88ZR",88,40,2887.79,"8+","1.320(25) μs","76.99(1)","E2",TRUE,"2887.79;8+;1.320(25) μs"
"89KR",89,36,28.59,"(5/2+)","21.7(13) ns","28.51(10)",NA,TRUE,"28.59;(5/2+);21.7(13) ns"
"89Y",89,39,908.97,"9/2+","15.663(5) s","908.960(25)","M4+E5",TRUE,"908.97;9/2+;15.663(5) s"
"89ZR",89,40,587.82,"1/2","4.161(10) min","587.8(1)","(M4)",TRUE,"587.82;1/2;4.161(10) min"
"89NB",89,41,2192.92,"(21/2+)","13.8(4) ns","257.7(1)","E2",TRUE,"2192.92;(21/2+);13.8(4) ns"
"89MO",89,42,387.5,"(1/2)","190(15) ms","268.6(2)","(E3)",TRUE,"387.5;(1/2);190(15) ms"
"89TC",89,43,62.6,"(1/2)","12.9(8) s",NA,NA,TRUE,"62.6;(1/2);12.9(8) s"
"90RB",90,37,106.9,"3","258(4) ns","106.92(15)","(M3)",TRUE,"106.9;3;258(4) ns"
"90Y",90,39,681.67,"7+","3.19(6) h","479.17(9)
681.8(6)","M4(+E5)
E5",TRUE,"681.67;7+;3.19(6) h"
"90ZR",90,40,1760.71,"0+","61.3(25) ns","1760.70(20)","E0",TRUE,"1760.71;0+;61.3(25) ns"
"90ZR",90,40,2319,"5","809.2(20) ms","132.716(18)
2318.968(10)","E3(+M4)
E5",TRUE,"2319;5;809.2(20) ms"
"90ZR",90,40,3589.419,"8+","131(4) ns","141.178(15)
1270.396(18)","E2(+M3)
E3",TRUE,"3589.419;8+;131(4) ns"
"90NB",90,41,124.67,"4","18.81(6) s",NA,NA,TRUE,"124.67;4;18.81(6) s"
"90NB",90,41,382.01,"1+","6.19(8) ms","257.34(4)","E3(+M4)",TRUE,"382.01;1+;6.19(8) ms"
"90NB",90,41,1880.21,"11","0.47(1) μs","71.1(2)
1067.3(2)","E2
M2",TRUE,"1880.21;11;0.47(1) μs"
"90MO",90,42,2874.73,"8+","1.12(5) μs","63.15(9)",NA,TRUE,"2874.73;8+;1.12(5) μs"
"90TC",90,43,144.1,"(1+)","8.7(2) s",NA,NA,TRUE,"144.1;(1+);8.7(2) s"
"91KR",91,36,144.3,"(3/2+)","56 ns","144.1","E2",TRUE,"144.3;(3/2+);56 ns"
"91RB",91,37,1133.79,"(9/2+)","16.6(6) ns","412.04(8)
1024.91(15)
1134.1",NA,TRUE,"1133.79;(9/2+);16.6(6) ns"
"91SR",91,38,93.628,"(3/2)+","89.4(16) ns","93.628(4)","E2(+M1)",TRUE,"93.628;(3/2)+;89.4(16) ns"
"91Y",91,39,555.58,"9/2+","49.71(4) min","555.57(5)","M4",TRUE,"555.58;9/2+;49.71(4) min"
"91ZR",91,40,2287.4,"15/2","29.0(8) ns","28.0(2)?
117.4(4)","(M1)",TRUE,"2287.4;15/2;29.0(8) ns"
"91ZR",91,40,3166.6,"21/2+","4.35(14) μs","879.2(3)",NA,TRUE,"3166.6;21/2+;4.35(14) μs"
"91NB",91,41,104.62,"1/2","60.86(22) d","104.62(5)","M4",TRUE,"104.62;1/2;60.86(22) d"
"91NB",91,41,1984.26,"13/2","10.0(4) ns","193.63(13)
1984.15(15)","E2
(M2+E3)",TRUE,"1984.26;13/2;10.0(4) ns"
"91NB",91,41,2034.42,"17/2","3.76(12) μs","50.1(2)","(E2)",TRUE,"2034.42;17/2;3.76(12) μs"
"91MO",91,42,653.01,"1/2","64.6(6) s","652.9(1)","M4",TRUE,"653.01;1/2;64.6(6) s"
"91MO",91,42,2267.4,"21/2(+)","47(1) ns","199.5(2)","E2",TRUE,"2267.4;21/2(+);47(1) ns"
"91MO",91,42,2279.6,"(17/2)","38(4) ns","211.7(2)",NA,TRUE,"2279.6;(17/2);38(4) ns"
"91TC",91,43,139.3,"(1/2)","3.3(1) min",NA,NA,TRUE,"139.3;(1/2);3.3(1) min"
"92BR",92,35,662.4,NA,"0.089(+78) μs","106.3(5)","E2",TRUE,"662.4;NA;0.089(+78) μs"
"92BR",92,35,1137.9,NA,"0.084(+109) μs","778.8(5)
898.3(5)
1039.8(5)",NA,TRUE,"1137.9;NA;0.084(+109) μs"
"92RB",92,37,284.31,"3","54(3) ns","142.0(2)","E2",TRUE,"284.31;3;54(3) ns"
"92NB",92,41,135.5,"(2)+","10.15(2) d",NA,NA,TRUE,"135.5;(2)+;10.15(2) d"
"92NB",92,41,225.8,"(2)","5.9(2) μs","90.37(9)","E1",TRUE,"225.8;(2);5.9(2) μs"
"92NB",92,41,2203.3,"11","167(4) ns","115.8(2)","E2",TRUE,"2203.3;11;167(4) ns"
"92MO",92,42,2760.52,"8+","190(3) ns","148.14(13)","E2",TRUE,"2760.52;8+;190(3) ns"
"92TC",92,43,270.09,"(4+)","1.03(7) μs","56.34(2)","E2",TRUE,"270.09;(4+);1.03(7) μs"
"92RU",92,44,2535.2,"(5)","16(2) ns","680.1(10)
1670.7(10)","(E3)",TRUE,"2535.2;(5);16(2) ns"
"92RU",92,44,2833.9,"(8+)","100(14) ns","163.1(2)","E2",TRUE,"2833.9;(8+);100(14) ns"
"93KR",93,36,354.85,"(7/2+)","10(2) ns","237.4(2)","(E2)",TRUE,"354.85;(7/2+);10(2) ns"
"93RB",93,37,4423.1,"(27/2)","111(11) ns","100.9",NA,TRUE,"4423.1;(27/2);111(11) ns"
"93Y",93,39,758.719,"9/2+","0.82(4) s","168.499(4)","E3",TRUE,"758.719;9/2+;0.82(4) s"
"93NB",93,41,30.77,"1/2","16.12(12) y","30.77(2)","M4",TRUE,"30.77;1/2;16.12(12) y"
"93MO",93,42,2424.95,"21/2+","6.85(7) h","263.049(13)","E4",TRUE,"2424.95;21/2+;6.85(7) h"
"93TC",93,43,391.84,"1/2","43.5(10) min","391.83(8)","M4",TRUE,"391.84;1/2;43.5(10) min"
"93TC",93,43,2185.16,"(17/2)","10.2(3) μs","0.31(2)
39.75(10)
750.7(2)","M2+E3",TRUE,"2185.16;(17/2);10.2(3) μs"
"93RU",93,44,734.4,"(1/2)","10.8(3) s","734.4(1)",NA,TRUE,"734.4;(1/2);10.8(3) s"
"93RU",93,44,2082.5,"(21/2)+","2.49(15) μs","146.3(10)","E2",TRUE,"2082.5;(21/2)+;2.49(15) μs"
"93RU",93,44,2280.5,"(17/2)","35(4) ns","151.3(10)
167.8(10)
343.8(10)","(E1)",TRUE,"2280.5;(17/2);35(4) ns"
"94BR",94,35,294.6,NA,"0.530(15) μs","92.1(5)
179.0(5)","E2",TRUE,"294.6;NA;0.530(15) μs"
"94RB",94,37,1485.2,"(8+)","18(1) ns","168.7
169.8
817.7",NA,TRUE,"1485.2;(8+);18(1) ns"
"94RB",94,37,2074.9,"(10)","107(16) ns","589.7",NA,TRUE,"2074.9;(10);107(16) ns"
"94Y",94,39,1202.3,"(5+)","1.30(1) μs","769.9
1202.4","(M2)
(E3)",TRUE,"1202.3;(5+);1.30(1) μs"
"94NB",94,41,40.892,"3+","6.263(4) min","40.90(5)","M3",TRUE,"40.892;3+;6.263(4) min"
"94NB",94,41,140.298,"(2)","30(5) ns","99.4074(9)","E1",TRUE,"140.298;(2);30(5) ns"
"94MO",94,42,2955.55,"8+","98(2) ns","83.6(10)
532.1(1)","E2
E2(+M3)",TRUE,"2955.55;8+;98(2) ns"
"94TC",94,43,76,"(2)+","52.0(10) min","76(3)",NA,TRUE,"76;(2)+;52.0(10) min"
"94RU",94,44,2498,"6+","65(2) ns","311.4(2)","E2",TRUE,"2498;6+;65(2) ns"
"94RU",94,44,2644.1,"8+","71(4) μs","146.1(2)","E2",TRUE,"2644.1;8+;71(4) μs"
"94RH",94,45,54.6,"(2+)","0.48(3) μs","54.6(2)","E2",TRUE,"54.6;(2+);0.48(3) μs"
"94PD",94,46,7212,"(19)","197(22) ns","106
1651","E1
E3",TRUE,"7212;(19);197(22) ns"
"95BR",95,35,537.9,"(3/2
1/2)","6.7(+119) μs","537.9 (5)",NA,TRUE,"537.9;(3/2
1/2);6.7(+119) μs"
"95KR",95,36,196.9,"(7/2+)","1.42(15) μs","82.6(5)","(E2)",TRUE,"196.9;(7/2+);1.42(15) μs"
"95RB",95,37,810.57,"(9/2+)","94(7) ns","191.4
810.6","M2",TRUE,"810.57;(9/2+);94(7) ns"
"95SR",95,38,556.08,"(7/2)+","21.7(3) ns","204.01(9)","E2",TRUE,"556.08;(7/2)+;21.7(3) ns"
"95Y",95,39,1087.6,"9/2+","48.6(5) μs","260.7
401.8","(M2)
(E3)",TRUE,"1087.6;9/2+;48.6(5) μs"
"95Y",95,39,3142.5,"(17/2","16(3) ns","969.1","(M2)",TRUE,"3142.5;(17/2;16(3) ns"
"95Y",95,39,5022.2,"(27/2)","65(4) ns","101.2
120.6
682.3
1246.3","(E2)
(E1)
(M2)
(E3)",TRUE,"5022.2;(27/2);65(4) ns"
"95NB",95,41,235.69,"1/2","3.61(3) d","235.69(2)","M4",TRUE,"235.69;1/2;3.61(3) d"
"95TC",95,43,38.91,"1/2","61(2) d","38.9(1)","M4",TRUE,"38.91;1/2;61(2) d"
"95RU",95,44,2538,"21/2+","10.05(14) ns","255(1)","E2",TRUE,"2538;21/2+;10.05(14) ns"
"95RH",95,45,543.3,"(1/2)","1.96(4) min","543.3(3)",NA,TRUE,"543.3;(1/2);1.96(4) min"
"95RH",95,45,2236.37,"(17/2)","18.8(10) ns","168.84(9)","(E1)",TRUE,"2236.37;(17/2);18.8(10) ns"
"95PD",95,46,1875.13,"(21/2+)","13.3(3) s","524.0(1)","(E4)",TRUE,"1875.13;(21/2+);13.3(3) s"
"95PD",95,46,4330.9,"(31/2)","11.2 (7) ns","260.4(2)
1635.4",NA,TRUE,"4330.9;(31/2);11.2 (7) ns"
"96RB",96,37,1134.6,"(10)","1.77(6) μs","40(1)","E2",TRUE,"1134.6;(10);1.77(6) μs"
"96SR",96,38,3523.7,"9","40(8) ns","195.7
398.4","(E2)
E1",TRUE,"3523.7;9;40(8) ns"
"96Y",96,39,1541,"8+","9.6(2) s",NA,NA,TRUE,"1541;8+;9.6(2) s"
"96ZR",96,40,1581.64,"0+","38.0(7) ns","1581.6(4)","E0",TRUE,"1581.64;0+;38.0(7) ns"
"96TC",96,43,34.23,"4+","51.5(10) min","34.20(5)","M3",TRUE,"34.23;4+;51.5(10) min"
"96TC",96,43,121.24,"(2)","25.6(+42) ns","85.1(1)
85.9(1)","E1
E1",TRUE,"121.24;(2);25.6(+42) ns"
"96RH",96,45,51.98,"3+","1.51(2) min","51.98(9)","M3",TRUE,"51.98;3+;1.51(2) min"
"96PD",96,46,2530.57,"8+","1.75(6) μs","106.37(17)","E2",TRUE,"2530.57;8+;1.75(6) μs"
"96PD",96,46,7040,"(15+)","35(4) ns","311.3(4)",NA,TRUE,"7040;(15+);35(4) ns"
"96PD",96,46,8385.1,"(15 16
17)","37.7(11) ns","685.2(3)",NA,TRUE,"8385.1;(15 16
17);37.7(11) ns"
"96AG",96,47,2461.4,"(13)","100(10) μs","485.7(3)
742.7(2)","(M2,E3)
(E3)",TRUE,"2461.4;(13);100(10) μs"
"97SR",97,38,308.13,"7/2+","170(4) ns","141.3(5)","E2",TRUE,"308.13;7/2+;170(4) ns"
"97SR",97,38,830.83,"(9/2+)","515(10) ns","308.3(2)
522.7(2)","(E2)",TRUE,"830.83;(9/2+);515(10) ns"
"97Y",97,39,667.52,"(9/2)+","1.17(3) s","667.5(5)",NA,TRUE,"667.52;(9/2)+;1.17(3) s"
"97Y",97,39,3522.6,"(27/2)","142(8) ms","162.3(2)","E3",TRUE,"3522.6;(27/2);142(8) ms"
"97ZR",97,40,1264.35,"7/2+","0.106(2) μs","161.2(2)
1264.2(5)",NA,TRUE,"1264.35;7/2+;0.106(2) μs"
"97NB",97,41,743.35,"1/2","58.7(18) s","743.36(3)",NA,TRUE,"743.35;1/2;58.7(18) s"
"97TC",97,43,96.57,"1/2","91.0(6) d","96.5(1)","M4",TRUE,"96.57;1/2;91.0(6) d"
"97RH",97,45,258.76,"1/2","46.2(16) min","258.76(18)","M4",TRUE,"258.76;1/2;46.2(16) min"
"98RB",98,37,178.4,NA,"0.358(7) μs","54.7?
178.4(5)","E2
E2",TRUE,"178.4;NA;0.358(7) μs"
"98SR",98,38,215.35,"0+","22.8(19) ns","71.0(1)
215.5(1)","E2
E0",TRUE,"215.35;0+;22.8(19) ns"
"98SR",98,38,1838.2,"3+","13(3) ns","1403.8
1693.3",NA,TRUE,"1838.2;3+;13(3) ns"
"98Y",98,39,170.74,"2","0.61(1) μs","51.4(1)
170.8(1)","M1+E2
E2",TRUE,"170.74;2;0.61(1) μs"
"98Y",98,39,374.91,"(1 2
3,4)","35.8(8) ns","204.2(1)","E2",TRUE,"374.91;(1 2
3,4);35.8(8) ns"
"98Y",98,39,240,"(4,5)","2.0(2) s",NA,NA,TRUE,"240;(4,5);2.0(2) s"
"98Y",98,39,496.19,"4","6.87(5) μs","49.8(3)
121.3(1)","E1(+M2)
(M1)",TRUE,"496.19;4;6.87(5) μs"
"98Y",98,39,1182,"10","0.80(2) μs","110.8(2)","E2",TRUE,"1182;10;0.80(2) μs"
"98ZR",98,40,854.02,"0+","64(7) ns","854.0(2)","E0",TRUE,"854.02;0+;64(7) ns"
"98ZR",98,40,6603.7,"(17)","1.7(3) μs","63.0(1)","(E2)",TRUE,"6603.7;(17);1.7(3) μs"
"98NB",98,41,84,"(5+)","51.3(4) min",NA,NA,TRUE,"84;(5+);51.3(4) min"
"98MO",98,42,734.75,"0+","21.8(9) ns","734.75(4)","E0",TRUE,"734.75;0+;21.8(9) ns"
"98TC",98,43,90.76,"(2)","14.7(3) μs *",NA,NA,TRUE,"90.76;(2);14.7(3) μs *"
"98AG",98,47,167.83,"(3+)","220(20) ns","107.28(10)","E2",TRUE,"167.83;(3+);220(20) ns"
"98CD",98,48,2428,"(8+)","0.17(+64) μs","147.1(2)","E2",TRUE,"2428;(8+);0.17(+64) μs"
"98CD",98,48,6635.1,"(12+)","0.23(+43) μs","4207(2)","E4",TRUE,"6635.1;(12+);0.23(+43) μs"
"99Y",99,39,2141.65,"(17/2+)","8.0(5) μs","27.7(4)
272.90(10)
546.2(3)
882.5(3)
1166.0(4)
1435.5(4)","(M1)",TRUE,"2141.65;(17/2+);8.0(5) μs"
"99ZR",99,40,251.96,"(7/2+)","293(10) ns","130.2(1)","E2",TRUE,"251.96;(7/2+);293(10) ns"
"99ZR",99,40,1038.5,"(9/2+)","54(10) ns","188.5
360.1
381.1
786.8",NA,TRUE,"1038.5;(9/2+);54(10) ns"
"99NB",99,41,365.27,"1/2","2.5(2) min","365.1",NA,TRUE,"365.27;1/2;2.5(2) min"
"99MO",99,42,97.785,"5/2+","15.5(2) μs","97.785(3)","E2",TRUE,"97.785;5/2+;15.5(2) μs"
"99MO",99,42,684.1,"11/2","0.76(6) μs","448.6(2)",NA,TRUE,"684.1;11/2;0.76(6) μs"
"99TC",99,43,142.6832,"1/2","6.0067(5) h","2.1726(4)
142.63(3)","E3
M4",TRUE,"142.6832;1/2;6.0067(5) h"
"99RU",99,44,89.57,"3/2+","20.5(1) ns","89.50(20)","E2+M1",TRUE,"89.57;3/2+;20.5(1) ns"
"99RH",99,45,65.5,"9/2+","4.7(1) h",NA,NA,TRUE,"65.5;9/2+;4.7(1) h"
"99AG",99,47,506.2,"(1/2)","10.5(5) s","163.6(2)","E3",TRUE,"506.2;(1/2);10.5(5) s"
"99CD",99,48,2057.5,"(17/2+)","13.1(5) ns","226.3(2)",NA,TRUE,"2057.5;(17/2+);13.1(5) ns"
"100SR",100,38,1618.72,"(4)","0.122(9) μs","58.3(2)
118.0(2)
204.4(3)
1201.7(2)",NA,TRUE,"1618.72;(4);0.122(9) μs"
"100Y",100,39,145,"4+","0.94(3) s",NA,NA,TRUE,"145;4+;0.94(3) s"
"100NB",100,41,314,"(5+)","2.99(11) s",NA,NA,TRUE,"314;(5+);2.99(11) s"
"100TC",100,43,200.67,"(4)+","8.32(14) μs","28.520(2)","E2",TRUE,"200.67;(4)+;8.32(14) μs"
"100TC",100,43,243.95,"(6)+","3.2(2) μs","43.2862(10)","E2",TRUE,"243.95;(6)+;3.2(2) μs"
"100RH",100,45,32.696,"(2)","27.6(6) ns","32.70(2)","M1+E2",TRUE,"32.696;(2);27.6(6) ns"
"100RH",100,45,74.782,"(2)+","214.0(20) ns","42.10(2)
74.78(2)","E1",TRUE,"74.782;(2)+;214.0(20) ns"
"100RH",100,45,107.6,"(5+)","4.6(2) min","32.7(2)?
74.9(2)",NA,TRUE,"107.6;(5+);4.6(2) min"
"100RH",100,45,219.61,"(7+)","130(10) ns","112.0(1)","E2",TRUE,"219.61;(7+);130(10) ns"
"100AG",100,47,15.52,"(2)+","2.24(13) min",NA,NA,TRUE,"15.52;(2)+;2.24(13) min"
"100CD",100,48,2548.19,"(8+)","60(3) ns","90.7(1)
452.6(1)",NA,TRUE,"2548.19;(8+);60(3) ns"
"101Y",101,39,1205.5,NA,"0.860(+9080)
μs*","480.0 (16)",NA,TRUE,"1205.5;NA;0.860(+9080)
μs*"
"101ZR",101,40,941.81,"(9/2+)","16(2) ns","322.2(5)
331.4(5)
474.2(4)
533.7(4)
620.9(4)
710.2(4)
843.8(4)","E1
(M1+E2)
E1
E1
E2",TRUE,"941.81;(9/2+);16(2) ns"
"101MO",101,42,13.497,"3/2+","226(7) ns","13.49(10)","M1(+E2)",TRUE,"13.497;3/2+;226(7) ns"
"101MO",101,42,57.015,"5/2+","133(70) ns","43.515(5)
56.892(20)","M1+E2
E2",TRUE,"57.015;5/2+;133(70) ns"
"101MO",101,42,273,"11/2","95(15) ns",NA,NA,TRUE,"273;11/2;95(15) ns"
"101TC",101,43,9.32,"7/2+","14.3(3) ns","9.317(10)","M1+E2",TRUE,"9.32;7/2+;14.3(3) ns"
"101TC",101,43,15.602,"5/2+","26.8(6) ns","6.281(7)
15.606(15)","M1+E2
E2",TRUE,"15.602;5/2+;26.8(6) ns"
"101TC",101,43,207.526,"1/2","636(8) μs","191.92(2)","M2",TRUE,"207.526;1/2;636(8) μs"
"101RU",101,44,527.56,"11/2","17.5(4) μs","220.7(1)","M2",TRUE,"527.56;11/2;17.5(4) μs"
"101RH",101,45,157.32,"9/2+","4.34(1) d","157.41(4)","M4",TRUE,"157.32;9/2+;4.34(1) d"
"102NB",102,41,93,"1+","1.3(2) s",NA,NA,TRUE,"93;1+;1.3(2) s"
"102RH",102,45,41.94,"2()","18.9(4) ns","41.938(20)","M1",TRUE,"41.94;2();18.9(4) ns"
"102RH",102,45,140.73,"6(+)","3.742(10) y","98.8(1)","M4",TRUE,"140.73;6(+);3.742(10) y"
"102PD",102,46,1593.16,"0+","14.5(4) ns","58.3
1035.6
1592.6(5)","E0",TRUE,"1593.16;0+;14.5(4) ns"
"102AG",102,47,9.4,"2+","7.7(5) min","9.40(8)?","(M3)",TRUE,"9.4;2+;7.7(5) min"
"102CD",102,48,2718.6,"(8+)","39(3) ns","157.22(5)
487.43(4)
684.1(3)
1942.2(10)","(E2)",TRUE,"2718.6;(8+);39(3) ns"
"103RU",103,44,238.2,"11/2","1.69(7) ms","24.6(7)?",NA,TRUE,"238.2;11/2;1.69(7) ms"
"103RH",103,45,39.753,"7/2+","56.114(9) min","39.755(6)","E3",TRUE,"39.753;7/2+;56.114(9) min"
"103PD",103,46,784.79,"11/2","25(2) ns","66.95(15)
541.0(1)","(E1)
M2",TRUE,"784.79;11/2;25(2) ns"
"103AG",103,47,134.45,"1/2","5.7(3) s","134.44(4)","E3",TRUE,"134.45;1/2;5.7(3) s"
"103IN",103,49,631.7,"(1/2)","34(2) s","631.7(1)","(M4)",TRUE,"631.7;(1/2);34(2) s"
"104NB",104,41,215,NA,"0.94(4) s",NA,NA,TRUE,"215;NA;0.94(4) s"
"104TC",104,43,69.7,"(+)","3.5(3) μs","69.7(2)","E2",TRUE,"69.7;(+);3.5(3) μs"
"104TC",104,43,106.1,"(+)","0.40(2) μs","36.3(2)",NA,TRUE,"106.1;(+);0.40(2) μs"
"104RH",104,45,128.9679,"5+","4.34(3) min","31.866(2)
77.5447(4)","M3
E3",TRUE,"128.9679;5+;4.34(3) min"
"104RH",104,45,344.594,"6","47(3) ns","169.356(3)
215.626(10)
293.09(7)","E1
E1",TRUE,"344.594;6;47(3) ns"
"104AG",104,47,6.9,"2+","33.5(20) min","6.9(4)",NA,TRUE,"6.9;2+;33.5(20) min"
"104IN",104,49,93.48,"(3+)","15.7(5) s","93.5(1)","M3",TRUE,"93.48;(3+);15.7(5) s"
"105TC",105,43,85.43,"(5/2+)","20.8(6) ns","85.4(1)","E1",TRUE,"85.43;(5/2+);20.8(6) ns"
"105RU",105,44,20.61,"(5/2)+","340(15) ns","20.559(19)","M1+E2",TRUE,"20.61;(5/2)+;340(15) ns"
"105RH",105,45,129.782,"1/2","42.9(3) s","129.782(4)","E3",TRUE,"129.782;1/2;42.9(3) s"
"105PD",105,46,489.14,"11/2","36.1(4) μs","182.89(4)","M2",TRUE,"489.14;11/2;36.1(4) μs"
"105AG",105,47,25.479,"7/2+","7.23(16) min","25.48(2)","E3",TRUE,"25.479;7/2+;7.23(16) min"
"105CD",105,48,2517.5,"(21/2+)","4.5(5) μs","126.46(19)","(E2)",TRUE,"2517.5;(21/2+);4.5(5) μs"
"105IN",105,49,674.08,"(1/2)","48(6) s","674.1(3)","M4",TRUE,"674.08;(1/2);48(6) s"
"106NB",106,41,204.9,"(3+)","0.66(+1110) μs","204.9(5)",NA,TRUE,"204.9;(3+);0.66(+1110) μs"
"106RH",106,45,137,"(6)+","131(2) min",NA,NA,TRUE,"137;(6)+;131(2) min"
"106AG",106,47,89.66,"6+","8.28(2) d",NA,NA,TRUE,"89.66;6+;8.28(2) d"
"106CD",106,48,4659.71,"12(+)","62(6) ns","223.61(5)
335.36(5)
476.8(3)","E2",TRUE,"4659.71;12(+);62(6) ns"
"106CD*",106,48,7118.9,"16+","11(+63) ns","602.8(2)
892.3(2)","E2",TRUE,"7118.9;16+;11(+63) ns"
"106IN",106,49,28.6,"(2)+","5.2(1) min",NA,NA,TRUE,"28.6;(2)+;5.2(1) min"
"106SB",106,51,103.5,"(4+)","232(21) ns","103.4(3)","E2",TRUE,"103.5;(4+);232(21) ns"
"107MO",107,42,65.4,"(1/2+)","420(30) ns","65.4(1)","E2",TRUE,"65.4;(1/2+);420(30) ns"
"107TC",107,43,30.1,"(1/2+)","3.85(5) μs","30.1(1)","E1",TRUE,"30.1;(1/2+);3.85(5) μs"
"107TC",107,43,65.72,"(5/2+)","184(3) ns","20.0
65.77(14)","E1",TRUE,"65.72;(5/2+);184(3) ns"
"107RU",107,44,102.681,"(+)","10.8(5) ns","102.70(3)","M1+E2",TRUE,"102.681;(+);10.8(5) ns"
"107RU",107,44,106.307,NA,"33.4(10) ns","106.31(3)","M1+E2",TRUE,"106.307;NA;33.4(10) ns"
"107RH",107,45,268.36,"1/2","> 10 μs","268.36(5)","(E3)",TRUE,"268.36;1/2;> 10 μs"
"107RH",107,45,374.278,"(3/2+)","15(2) ns","105.92(5)
374.28(5)","(E1)
(E2)",TRUE,"374.278;(3/2+);15(2) ns"
"107PD",107,46,115.74,"1/2+","0.85(10) μs","115.65(20)","E2",TRUE,"115.74;1/2+;0.85(10) μs"
"107PD",107,46,214.6,"11/2","21.3(5) s","214.9(5)","E3",TRUE,"214.6;11/2;21.3(5) s"
"107AG",107,47,93.125,"7/2+","44.3(2) s","93.124(20)","E3",TRUE,"93.125;7/2+;44.3(2) s"
"107CD",107,48,845.54,"11/2","71(5) ns","36.5(1)
640.58(10)
845.5(4)","E1
M2",TRUE,"845.54;11/2;71(5) ns"
"107CD",107,48,2678.88,"21/2+","55(4) ns","520.4(1)","E1",TRUE,"2678.88;21/2+;55(4) ns"
