"q","Occ_after","Occ_equiv","fq","n","kappa","J_final","subshell","Capture_Config","Eres_eV","Vi_keV","GS","ICC","ICC_sum","Y_neec_SI","Ypdb","Ar","S_neec_beV","Spdb","Ratio","R_neec_p","sigma_b","shell","Gamma_neec_p"
34,9,13,0,3,1,1.5,"M2","3p1/2",2947.0808229,1.9029191771,FALSE,95219.999999981,0,1687.9740322,44796.2405275749,0.287497167847221,2.8253390678e-06,7.50352640326183e-05,26.5579678162472,0,13.8358978015698,"M",1.3e-07
34,9,14,0,3,1,2.5,"M2","3p1/2",2948.825098,1.901174902,FALSE,46109.9999999907,0,2506.6904141,32538.6680958802,0.287497167847221,4.193221794e-06,5.44710707475655e-05,12.9902670127078,0,20.5345223383312,"M",1.3e-07
34,9,15,0,3,-2,3.5,"M3","3p3/2",2976.0106029,1.8739893971,FALSE,162319.487179446,0,3017.8937815,152726.376601649,0.287497167847221,5.002131179e-06,0.000253328009694957,50.6440156464672,0,24.4958124040597,"M",1.3e-07
34,9,16,0,3,-2,2.5,"M3","3p3/2",2976.0841053,1.8739158947,FALSE,115336.211538432,0,2263.4201475,81389.8656839301,0.287497167847221,3.7515051473e-06,0.000134998436015307,35.9851394879378,0,18.3714027146918,"M",1.3e-07
34,9,17,0,3,-2,0.5,"M3","3p3/2",2976.1681081,1.8738318919,FALSE,73254.7179486993,0,754.47331064,17231.3377704802,0.287497167847221,1.2504661988e-06,2.85801897059983e-05,22.8556275518883,0,6.12362697564162,"M",1.3e-07
34,9,18,0,3,1,0.5,"M3","3p3/2",2978.8195202,1.8711804798,FALSE,35056.3461538372,0,839.18571218,8246.12746442727,0.287497167847221,1.3896254512e-06,1.36649579415331e-05,9.83355473932406,0,6.80510029553186,"M",1.3e-07
34,9,19,0,3,-2,1.5,"M4","3d3/2",2998.7436843,1.8512563157,FALSE,2206.33913043461,0,1330.0537998,1037.97204759892,0.287497167847221,2.1877875298e-06,1.70859966801765e-06,0.780971481345744,0,10.7137599939224,"M",1.3e-07
34,9,20,0,3,2,1.5,"M4","3d3/2",3049.2158271,1.8007841729,FALSE,1558.40543478249,0,26.944760561,733.151698130751,0.287497167847221,4.3586404133e-08,1.18680209123773e-06,27.2287222321967,0,0.213445897519014,"M",1.3e-07
34,9,21,0,3,2,3.5,"M4","3d3/2",3052.4080796,1.7975919204,FALSE,971.645652173837,0,53.170006175,914.221221221598,0.287497167847221,8.5918660243e-08,1.47835922168747e-06,17.2064976049008,0,0.420750137892509,"M",1.3e-07
34,9,22,0,3,2,2.5,"M4","3d3/2",3052.7388228,1.7972611772,FALSE,453.706521739095,0,39.851805849,320.169289173881,0.287497167847221,6.4390470018e-08,5.17679721222493e-07,8.039694710689,0,0.315324972042313,"M",1.3e-07
