Z,Ebind,Occ,Element,subshell,CCp,Eic,Vi_q0,nmax,nh,shell_colours,multiplier
17,0.53,7,Chlorine,L3,2.33E-09,1999.8,0.200000000000045,4,4,"rgb(0,0,205)",2.6499999999994
17,0.4567,8,Chlorine,L3,2.33E-09,1999.8,0.200000000000045,4,3,"rgb(0,0,205)",1.71262499999961
17,0.400851,9,Chlorine,L3,2.33E-09,1999.8,0.200000000000045,4,2,"rgb(0,0,205)",1.00212749999977
17,0.348306,10,Chlorine,L3,2.33E-09,1999.8,0.200000000000045,4,1,"rgb(0,0,205)",0.435382499999901
17,0.1142013,11,Chlorine,M1,8.78E-08,1999.98,0.019999999999982,2,2,"rgb(0,0,255)",5.71006500000519
17,0.09694,12,Chlorine,M1,8.78E-08,1999.98,0.019999999999982,2,1,"rgb(0,0,255)",2.4235000000022
17,0.06768,13,Chlorine,M2,9.17E-11,1999.99,0.009999999999991,2,2,"rgb(65,105,225)",6.76800000000616
17,0.05324,14,Chlorine,M2,9.17E-11,1999.99,0.009999999999991,2,1,"rgb(65,105,225)",2.66200000000242
17,0.0398,15,Chlorine,M3,1.665E-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",1.99000000000181
17,0.02381364,16,Chlorine,M3,1.665E-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",1.19068200000108
17,0.012967633,17,Chlorine,M3,1.665E-10,1999.99,0.009999999999991,4,2,"rgb(70,130,180)",0.64838165000059
18,4.4262229,1,Argon,K,1.429E-05,1996.8,3.20000000000005,2,2,"rgb(123,104,238)",1.38319465624998
18,4.1206657,2,Argon,K,1.429E-05,1996.8,3.20000000000005,2,1,"rgb(123,104,238)",0.643854015624991
18,0.918375,3,Argon,L1,1.162E-06,1999.67,0.329999999999927,2,2,"rgb(25,25,112)",2.78295454545516
18,0.8555,4,Argon,L1,1.162E-06,1999.67,0.329999999999927,2,1,"rgb(25,25,112)",1.29621212121241
18,0.75513,5,Argon,L2,1.81E-09,1999.75,0.25,2,2,"rgb(0,0,139)",3.02052
18,0.6855,6,Argon,L2,1.81E-09,1999.75,0.25,2,1,"rgb(0,0,139)",1.371
18,0.619,7,Argon,L3,3.22E-09,1999.75,0.25,4,4,"rgb(0,0,205)",2.476
18,0.5404,8,Argon,L3,3.22E-09,1999.75,0.25,4,3,"rgb(0,0,205)",1.6212
18,0.47976,9,Argon,L3,3.22E-09,1999.75,0.25,4,2,"rgb(0,0,205)",0.95952
18,0.4226,10,Argon,L3,3.22E-09,1999.75,0.25,4,1,"rgb(0,0,205)",0.4226
18,0.1434567,11,Argon,M1,1.135E-07,1999.97,0.029999999999973,2,2,"rgb(0,0,255)",4.78189000000435
18,0.12441,12,Argon,M1,1.135E-07,1999.97,0.029999999999973,2,1,"rgb(0,0,255)",2.07350000000189
18,0.09129,13,Argon,M2,1.414E-10,1999.98,0.019999999999982,2,2,"rgb(65,105,225)",4.56450000000415
18,0.07484,14,Argon,M2,1.414E-10,1999.98,0.019999999999982,2,1,"rgb(65,105,225)",1.8710000000017
18,0.05958,15,Argon,M3,2.51E-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",1.48950000000135
18,0.040735,16,Argon,M3,2.51E-10,1999.98,0.019999999999982,4,2,"rgb(70,130,180)",1.01837500000093
