"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
12,"Mg VI",5,7,"Magnesium","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.18676,6e-05,"L10635"
12,"Mg VII",6,6,"Magnesium","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.22502,6e-05,"L11770"
12,"Mg VIII",7,5,"Magnesium","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.265924,1.9e-05,"L11770"
12,"Mg IX",8,4,"Magnesium","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.32799,4e-05,"L11770"
12,"Mg X",9,3,"Magnesium","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.367489,7e-06,"L16264c99"
12,"Mg XI",10,2,"Magnesium","He","1s2","1s2","1S0","1s 2S1/2",1.76180488,2e-07,"L12128"
12,"Mg XII",11,1,"Magnesium","H","1s","1s","2S1/2",NA,1.96266366,1.2e-07,"L7188"
13,"Al I",0,13,"Aluminum","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.005985769,3e-09,"L7215,L10321"
13,"Al II",1,12,"Aluminum","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.01882855,5e-08,"L7215"
13,"Al III",2,11,"Aluminum","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.028447642,2.5e-08,"L4714,L277"
13,"Al IV",3,10,"Aluminum","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.1199924,1.9e-06,"L4714,L2829"
13,"Al V",4,9,"Aluminum","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.1538252,2.5e-06,"L4714,L3565"
13,"Al VI",5,8,"Aluminum","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.19049,5e-05,"L7215"
13,"Al VII",6,7,"Aluminum","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.24176,9e-05,"L7215"
13,"Al VIII",7,6,"Aluminum","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.28464,7e-05,"L11770"
13,"Al IX",8,5,"Aluminum","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.33021,4e-05,"L11770"
13,"Al X",9,4,"Aluminum","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.39865,6e-05,"L11770"
13,"Al XI",10,3,"Aluminum","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.442005,7e-06,"L16264c99"
13,"Al XII",11,2,"Aluminum","He","1s2","1s2","1S0","1s 2S1/2",2.08597702,2e-07,"L12128"
13,"Al XIII",12,1,"Aluminum","H","1s","1s","2S1/2",NA,2.30414007,2.5e-07,"L7188"
14,"Si I",0,14,"Silicon","Si","Ne3s23p2","3s23p2","3P0","3p 2P°1/2",0.00815168,3e-08,"L5815"
14,"Si II",1,13,"Silicon","Al","Ne3s23p","3s23p","2P°1/2","3s2 1S0",0.01634585,4e-08,"L5815"
14,"Si III",2,12,"Silicon","Mg","Ne3s2","2p63s2","1S0","3s 2S1/2",0.033493,9e-08,"L5815"
14,"Si IV",3,11,"Silicon","Na","Ne3s","2p63s","2S1/2","2p6 1S0",0.04514179,7e-08,"L5815,L6098"
