"At. Num. "," Sp.  Name. "," Ion  Charge "," El.  name "," Isoel.  Seq. "," Ground  Shells "," Ground  Config. "," Ground  Level "," Ionized  Level "," Ionization  Energy 
 (eV) ","Uncertainty
 (eV) "," References "
11,"Na III ",2,"Sodium ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ","  [71.6200]                 ",0.0012," L5793,L2720 "
11,"Na IV ",3,"Sodium ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [98.936]                  ",0.012," L11770 "
11,"Na V ",4,"Sodium ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ",138.404,0.012," L7482 "
11,"Na VI ",5,"Sodium ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [172.23]                   ",0.05," L11770 "
11,"Na VII ",6,"Sodium ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [208.504]                  ",0.012," L11770 "
11,"Na VIII ",7,"Sodium ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ","  [264.192]                  ",0.022," L11770 "
11,"Na IX ",8,"Sodium ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  (299.856)                  ",0.007," L16264c99 "
11,"Na X ",9,"Sodium ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  (1 465.134502)               ",2.5E-05," L13237 "
11,"Na XI ",10,"Sodium ","H ","1s ","1s "," 2S1/2 "," ","  (1 648.70220)                ",0.00012," L7188 "
12,"Mg I ",0,"Magnesium ","Mg ","[Ne]3s2 ","2p63s2 "," 1S0 ","3s 2S1/2 ",7.646236,4E-06," L10635,L6969 "
12,"Mg II ",1,"Magnesium ","Na ","[Ne]3s ","2p63s "," 2S1/2 ","2p6 1S0 ",15.035271,6E-06," L10635 "
12,"Mg III ",2,"Magnesium ","Ne ","1s22s22p6 ","2s22p6 "," 1S0 ","2p5 2P°3/2 ",80.1436,0.0006," L4995,L1434 "
12,"Mg IV ",3,"Magnesium ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ","  [109.2654]               ",0.0012," L4995,L2720 "
12,"Mg V ",4,"Magnesium ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ","  [141.33]                 ",0.03," L11770 "
12,"Mg VI ",5,"Magnesium ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [186.76]                 ",0.06," L10635 "
