"Z","ne_cm3","Te_eV","q","frac"
6,1e+14,0.5,4,0
6,1e+14,0.5,5,0
6,1e+14,0.5,6,0
6,1e+14,1,0,0.373
6,1e+14,1,1,0.627
6,1e+14,1,2,9.1435e-07
6,1e+14,1,3,6.7557e-25
6,1e+14,1,4,0
6,1e+14,1,5,0
6,1e+14,1,6,0
6,1e+14,1.5,0,0.0060052
6,1e+14,1.5,1,0.98708
6,1e+14,1.5,2,0.0069108
6,1e+14,1.5,3,5.6644e-14
6,1e+14,1.5,4,2.4031e-30
6,1e+14,1.5,5,0
6,1e+14,1.5,6,0
6,1e+14,2,0,0.00035975
6,1e+14,2,1,0.65742
6,1e+14,2,2,0.34222
6,1e+14,2,3,9.7289e-09
6,1e+14,2,4,2.5172e-20
6,1e+14,2,5,0
6,1e+14,2,6,0
6,1e+14,5,0,7.7387e-09
6,1e+14,5,1,0.0009232
6,1e+14,5,2,0.93029
6,1e+14,5,3,0.068678
6,1e+14,5,4,0.00011253
6,1e+14,5,5,3.0756e-36
6,1e+14,5,6,0
6,1e+14,7,0,8.1963e-10
6,1e+14,7,1,0.00017899
6,1e+14,7,2,0.46119
6,1e+14,7,3,0.49269
6,1e+14,7,4,0.045941
6,1e+14,7,5,6.2419e-24
6,1e+14,7,6,0
6,1e+14,10,0,3.0152e-11
6,1e+14,10,1,9.8678e-06
6,1e+14,10,2,0.043761
6,1e+14,10,3,0.30071
6,1e+14,10,4,0.65552
6,1e+14,10,5,1.7015e-15
6,1e+14,10,6,4.5054e-36
6,1e+14,15,0,2.6912e-13
6,1e+14,15,1,1.5693e-07
6,1e+14,15,2,0.0011094
6,1e+14,15,3,0.03293
6,1e+14,15,4,0.96596
6,1e+14,15,5,1.1711e-09
6,1e+14,15,6,6.1968e-23
6,1e+14,23,0,4.5431e-15
6,1e+14,23,1,4.2359e-09
6,1e+14,23,2,4.7815e-05
6,1e+14,23,3,0.0047001
6,1e+14,23,4,0.99524
6,1e+14,23,5,1.0866e-05
6,1e+14,23,6,8.1972e-14
6,1e+14,32,0,3.1508e-16
6,1e+14,32,1,4.2145e-10
6,1e+14,32,2,6.8743e-06
6,1e+14,32,3,0.0014861
6,1e+14,32,4,0.99709
6,1e+14,32,5,0.0014171
6,1e+14,32,6,6.3164e-09
6,1e+14,52,0,9.571e-18
6,1e+14,52,1,2.2348e-11
6,1e+14,52,2,6.3112e-07
6,1e+14,52,3,0.00037502
6,1e+14,52,4,0.8325
6,1e+14,52,5,0.16664
6,1e+14,52,6,0.00047605
6,1e+14,74,0,4.5134e-19
6,1e+14,74,1,1.5997e-12
6,1e+14,74,2,6.706e-08
6,1e+14,74,3,7.6375e-05
6,1e+14,74,4,0.28374
6,1e+14,74,5,0.66859
6,1e+14,74,6,0.047591
6,1e+14,100,0,1.8991e-20
6,1e+14,100,1,9.6353e-14
6,1e+14,100,2,5.6249e-09
6,1e+14,100,3,1.0584e-05
6,1e+14,100,4,0.053073
6,1e+14,100,5,0.60468
6,1e+14,100,6,0.34224
6,1e+14,165,0,5.5465e-23
6,1e+14,165,1,5.1165e-16
6,1e+14,165,2,5.1468e-11
6,1e+14,165,3,2.0731e-07
6,1e+14,165,4,0.0016377
6,1e+14,165,5,0.1251
6,1e+14,165,6,0.87326
6,1e+14,235,0,1.2011e-24
6,1e+14,235,1,1.6866e-17
6,1e+14,235,2,2.4233e-12
6,1e+14,235,3,1.6051e-08
6,1e+14,235,4,0.00018275
6,1e+14,235,5,0.037927
6,1e+14,235,6,0.96189
6,1e+14,310,0,7.5752e-26
6,1e+14,310,1,1.481e-18
6,1e+14,310,2,2.8345e-13
6,1e+14,310,3,2.7203e-09
6,1e+14,310,4,4.2513e-05
6,1e+14,310,5,0.017121
6,1e+14,310,6,0.98284
6,1e+14,390,0,8.6511e-27
6,1e+14,390,1,2.2276e-19
6,1e+14,390,2,5.4287e-14
6,1e+14,390,3,7.1638e-10
6,1e+14,390,4,1.4701e-05
6,1e+14,390,5,0.0096182
6,1e+14,390,6,0.99037
6,1e+14,475,0,1.4663e-27
6,1e+14,475,1,4.7859e-20
6,1e+14,475,2,1.4374e-14
6,1e+14,475,3,2.4345e-10
6,1e+14,475,4,6.4236e-06
6,1e+14,475,5,0.0061911
6,1e+14,475,6,0.9938
6,1e+14,655,0,9.544e-29
6,1e+14,655,1,4.5868e-21
6,1e+14,655,2,1.9426e-15
6,1e+14,655,3,4.9141e-11
6,1e+14,655,4,1.907e-06
6,1e+14,655,5,0.0032777
6,1e+14,655,6,0.99672
6,1e+14,845,0,1.1765e-29
6,1e+14,845,1,7.6845e-22
6,1e+14,845,2,4.2828e-16
6,1e+14,845,3,1.5001e-11
6,1e+14,845,4,8.0691e-07
6,1e+14,845,5,0.0020943
6,1e+14,845,6,0.9979
6,1e+14,1000,0,3.0573e-30
6,1e+14,1000,1,2.4454e-22
6,1e+14,1000,2,1.6352e-16
6,1e+14,1000,3,7.096e-12
6,1e+14,1000,4,4.7378e-07
6,1e+14,1000,5,0.0015984
6,1e+14,1000,6,0.9984
6,1e+14,1441,0,1.7794e-31
6,1e+14,1441,1,2.2061e-23
6,1e+14,1441,2,2.1927e-17
6,1e+14,1441,3,1.5101e-12
6,1e+14,1441,4,1.6022e-07
6,1e+14,1441,5,0.00092795
6,1e+14,1441,6,0.99907
6,1e+14,1925,0,2.0076e-32
6,1e+14,1925,1,3.5167e-24
6,1e+14,1925,2,4.785e-18
6,1e+14,1925,3,4.7417e-13
6,1e+14,1925,4,7.2309e-08
6,1e+14,1925,5,0.00062686
6,1e+14,1925,6,0.99937
6,1e+14,2454,0,3.3062e-33
6,1e+14,2454,1,7.7256e-25
6,1e+14,2454,2,1.3674e-18
6,1e+14,2454,3,1.8372e-13
6,1e+14,2454,4,3.7967e-08
6,1e+14,2454,5,0.00045317
6,1e+14,2454,6,0.99955
6,1e+14,3030,0,7.117e-34
6,1e+14,3030,1,2.1331e-25
6,1e+14,3030,2,4.7392e-19
6,1e+14,3030,3,8.2712e-14
6,1e+14,3030,4,2.2229e-08
6,1e+14,3030,5,0.00034901
6,1e+14,3030,6,0.99965
6,1e+14,3655,0,1.8945e-34
6,1e+14,3655,1,7.0776e-26
6,1e+14,3655,2,1.924e-19
6,1e+14,3655,3,4.2298e-14
6,1e+14,3655,4,1.4173e-08
6,1e+14,3655,5,0.00027558
6,1e+14,3655,6,0.99972
6,1e+14,4331,0,5.8237e-35
6,1e+14,4331,1,2.6533e-26
6,1e+14,4331,2,8.6535e-20
6,1e+14,4331,3,2.3443e-14
6,1e+14,4331,4,9.6415e-09
6,1e+14,4331,5,0.00022993
6,1e+14,4331,6,0.99977
6,1e+14,5060,0,1.9696e-35
6,1e+14,5060,1,1.0756e-26
6,1e+14,5060,2,4.1433e-20
6,1e+14,5060,3,1.3583e-14
6,1e+14,5060,4,6.7354e-09
6,1e+14,5060,5,0.00019551
6,1e+14,5060,6,0.9998
6,1e+14,5844,0,6.6287e-36
6,1e+14,5844,1,4.3187e-27
6,1e+14,5844,2,1.9852e-20
6,1e+14,5844,3,7.8956e-15
6,1e+14,5844,4,4.7071e-09
6,1e+14,5844,5,0.00016341
6,1e+14,5844,6,0.99984
6,1e+14,6685,0,2.5467e-36
6,1e+14,6685,1,1.9407e-27
6,1e+14,6685,2,1.0325e-20
6,1e+14,6685,3,4.8505e-15
6,1e+14,6685,4,3.4046e-09
6,1e+14,6685,5,0.00013894
6,1e+14,6685,6,0.99986
6,1e+14,7585,0,1.0456e-36
6,1e+14,7585,1,9.228e-28
6,1e+14,7585,2,5.6319e-21
6,1e+14,7585,3,3.0933e-15
6,1e+14,7585,4,2.531e-09
6,1e+14,7585,5,0.00011983
6,1e+14,7585,6,0.99988
6,1e+14,8546,0,4.5427e-37
6,1e+14,8546,1,4.6042e-28
6,1e+14,8546,2,3.1991e-21
6,1e+14,8546,3,2.0361e-15
6,1e+14,8546,4,1.9256e-09
6,1e+14,8546,5,0.0001046
6,1e+14,8546,6,0.9999
6,1e+14,10000,0,1.5298e-37
6,1e+14,10000,1,1.8599e-28
6,1e+14,10000,2,1.5332e-21
6,1e+14,10000,3,1.1846e-15
6,1e+14,10000,4,1.3561e-09
