"Facility","Wavelength_nm","Pulse_Energy_J","Pulse_Duration_fs","Max_Repetition_Rate_Hz","Spot_Diameter_um","Power_W","Intensity_Wcm2","Irradiance_Wcm2um2","Te_SSLP_keV","Te_Beg_keV","Te_Pond_keV","Te_chosen_keV","Ne","tp","ne"
"VEGA2",800,6,30,10,5,2e+14,1.01859163578813e+21,6.51898646904403e+20,321.970943462679,1994.28793811258,234683.512885585,1994.28793811258,9390114337261.99,3.80193429693031e-13,5.31739634525722e+22
"Omega_EP",1054,500,30,0.00037,30,16666666666666664,2.35785100876882e+21,2.61937441125742e+21,511.865486229578,3170.49468546874,942974.788052672,3170.49468546874,492210039181183,1.80919873007913e-12,7.74240916634061e+22
"VEGA3",800,30,30,1,5,1e+15,5.09295817894065e+21,3.25949323452202e+21,550.562568849984,3410.18440491998,1173417.56442793,3410.18440491998,27456860886001,2.90743227129669e-13,1.55481612346404e+23
"QST",800,30,30,0.1,5,1e+15,5.09295817894065e+21,3.25949323452202e+21,550.562568849984,3410.18440491998,1173417.56442793,3410.18440491998,27456860886001,2.90743227129669e-13,1.55481612346404e+23
"ALEPH",600,18,37,3.3,1.8,486486486486486,1.91177108819094e+22,6.88237591748737e+21,706.322081623239,4374.95878558083,2477655.33029545,4374.95878558083,12841212462631.3,9.24089544156465e-14,4.54934332592621e+23
"MEC",810,1,45,5,7,22222222222222.2,57743338784376602624,6.88237591748737e+21,706.322081623239,4374.95878558083,2477655.33029545,4374.95878558083,12841212462631.3,9.24089544156465e-14,4.54934332592621e+23
"NIF",350,2e+06,20000,3.47e-05,600,1e+17,35367795005430697984,6.88237591748737e+21,706.322081623239,4374.95878558083,2477655.33029545,4374.95878558083,12841212462631.3,9.24089544156465e-14,4.54934332592621e+23
"Generic_Nd:Glass",1053,100,1e+06,2e-04,35,1e+11,1e+16,6.88237591748737e+21,706.322081623239,4374.95878558083,2477655.33029545,4374.95878558083,12841212462631.3,9.24089544156465e-14,4.54934332592621e+23
"Vulcan",1053,2600,650,3e-04,5,NA,NA,6.88237591748737e+21,706.322081623239,4374.95878558083,2477655.33029545,4374.95878558083,12841212462631.3,9.24089544156465e-14,4.54934332592621e+23
"Scarlet",815,10,30,0.0167,2,333333333333333,1.06103295394597e+22,7.04764613834761e+21,711.931185146505,4409.70157131103,2537152.60980514,4409.70157131103,7077800110152.76,1.02271336225947e-13,2.50499269008111e+23
"ELI-NP",820,200,20,0.016,5,1e+16,5.09295817894065e+22,3.42450507951969e+22,1205.83881282685,7468.96528570548,12328218.2862709,7468.96528570548,83575127405932.3,1.96457366544171e-13,7.09898827204736e+23
"Zeus",800,75,25,0.1,2,3e+15,9.54929658551372e+22,6.11154981472878e+22,1462.65007914907,9059.65420095281,22001579.3330236,9059.65420095281,25837895333701.2,7.13514362029158e-14,1.09735349284859e+24
"Texas_Petawatt",1057,155,0.7,0.000416,22,221428571428571424,5.82503333630314e+22,6.50801266995134e+22,1493.61769553248,9251.46760858938,23428845.6118248,9251.46760858938,52291193960612.7,7.76686754459706e-13,6.55502831800375e+23
